time_ka,nominal_esl_m,esl_m,sigma_esl
11.27,-56.78,-59.56,1.3
11.375,-58.03,-60.49,0.72
11.479,-59.28,-61.11,0.58
11.583,-60.39,-61.43,0.65
11.687,-61.31,-61.73,0.5
11.791,-62.24,-62.02,0.43
11.896,-63.16,-62.3,0.5
12,-64.08,-62.58,0.65
12.104,-64.67,-62.88,0.72
12.208,-65.25,-63.24,0.94
12.312,-65.83,-63.81,1.23
12.417,-66.41,-64.75,1.3
12.521,-66.99,-65.89,1.3
12.625,-67.57,-67.06,1.15
12.729,-68.15,-68.22,1.08
12.833,-68.76,-69.38,0.94
12.937,-69.42,-70.54,0.87
13.042,-70.08,-71.71,0.87
13.146,-70.74,-72.87,0.87
13.25,-71.4,-74.03,0.94
13.354,-72.06,-75.19,1.01
13.458,-72.74,-76.36,1.15
13.563,-73.42,-77.52,1.37
13.667,-74.1,-78.71,1.44
13.771,-74.78,-80.19,1.87
13.875,-75.46,-82.67,2.38
13.979,-76.17,-86.14,2.09
14.084,-76.93,-89.74,1.51
14.188,-82.05,-93.34,1.01
14.292,-87.98,-96.94,0.87
14.396,-91.66,-100.53,1.15
14.5,-95.14,-103.1,2.09
14.605,-96.23,-102.66,2.38
14.709,-96.76,-101.48,1.37
14.813,-97.29,-100.29,2.31
14.917,-97.82,-99.44,3.24
15.021,-98.36,-99.5,3.24
15.125,-99.01,-100.39,3.24
15.203,-100.03,-101.82,3.53
15.334,-101.05,-103.96,2.88
15.438,-102.06,-106.7,3.68
15.542,-103.08,-109.1,5.91
15.646,-104.1,-111.08,5.62
15.751,-105.13,-112.84,4.97
15.855,-106.19,-114.53,4.25
15.959,-107.25,-116.18,3.6
16.063,-108.3,-117.79,3.32
16.167,-109.36,-119.3,3.17
16.272,-110.41,-120.66,2.88
16.376,-111.41,-121.9,2.88
16.48,-112.39,-122.9,3.24
16.584,-113.04,-123.45,3.32
16.688,-113.63,-123.61,3.24
16.792,-114.21,-123.59,2.96
16.897,-114.79,-123.51,2.74
17.001,-115.37,-123.42,2.52
17.105,-115.95,-123.31,2.23
17.209,-116.54,-123.19,2.02
17.313,-117.12,-123.07,1.87
17.418,-117.7,-122.93,1.73
17.522,-118.28,-122.8,1.73
17.626,-118.84,-122.68,1.95
17.73,-119.3,-122.56,2.09
17.834,-119.77,-122.47,2.02
17.939,-120.23,-122.41,1.87
18.043,-120.7,-122.4,1.73
18.147,-121.16,-122.43,1.51
18.251,-121.62,-122.52,1.44
18.355,-122.09,-122.7,1.51
18.46,-122.56,-123.01,1.44
18.564,-123.02,-123.44,1.37
18.668,-123.49,-123.95,1.23
18.772,-123.95,-124.5,1.23
18.876,-124.42,-125.07,1.08
18.98,-125.41,-125.65,1.08
19.085,-126.42,-126.23,1.15
19.189,-127.42,-126.81,1.3
19.293,-128.43,-127.41,1.51
19.397,-129.43,-128.02,1.66
19.501,-130.43,-128.66,1.59
19.606,-131.44,-129.34,1.3
19.71,-132.44,-130.04,1.08
19.814,-133.45,-130.75,1.37
19.918,-134.45,-131.44,1.73
20.022,-135.35,-132.11,2.02
20.127,-135.85,-132.73,1.95
20.231,-136.34,-133.32,1.87
20.335,-136.82,-133.82,1.8
20.439,-137.3,-134.15,1.66
20.543,-137.77,-134.28,1.59
20.648,-138.24,-134.28,1.59
20.786,-138.86,-134.18,1.66
20.925,-139.48,-134.04,1.59
21.064,-139.66,-133.9,1.59
21.203,-139.31,-133.76,1.59
21.342,-138.96,-133.62,1.51
21.481,-138.61,-133.47,1.44
21.62,-138.27,-133.33,1.44
21.759,-137.94,-133.19,1.44
21.898,-137.61,-133.04,1.44
22.037,-137.27,-132.9,1.37
22.176,-136.92,-132.76,1.3
22.419,-136.29,-132.51,1.3
22.558,-135.93,-132.37,1.3
22.697,-135.57,-132.23,1.3
22.836,-135.21,-132.08,1.3
22.974,-134.86,-131.94,1.3
23.113,-134.59,-131.8,1.3
23.252,-134.35,-131.66,1.23
23.391,-134.1,-131.51,1.15
23.53,-133.85,-131.37,1.15
23.669,-133.61,-131.23,1.15
23.808,-133.36,-131.09,1.15
23.947,-133.12,-130.94,1.15
24.086,-132.87,-130.8,1.23
24.225,-132.63,-130.66,1.23
24.364,-132.39,-130.52,1.3
24.503,-132.15,-130.38,1.3
24.641,-131.91,-130.23,1.3
24.78,-131.67,-130.09,1.3
24.919,-131.44,-129.95,1.3
25.058,-131.12,-129.81,1.3
25.197,-130.69,-129.67,1.3
25.336,-130.25,-129.52,1.3
25.475,-129.82,-129.38,1.37
25.614,-129.39,-129.24,1.44
25.753,-128.95,-129.1,1.44
25.892,-128.5,-128.95,1.44
26.065,-127.95,-128.78,1.44
26.239,-127.42,-128.6,1.51
26.413,-126.9,-128.42,1.51
26.586,-126.68,-128.24,1.59
26.76,-126.74,-128.07,1.59
26.934,-126.89,-127.89,1.66
27.107,-126.68,-127.71,1.8
27.281,-126.25,-127.53,1.8
27.455,-125.82,-127.36,1.87
27.628,-125.26,-127.18,1.87
27.802,-124.67,-127,1.95
27.976,-124.07,-126.82,1.95
28.149,-123.48,-126.65,2.02
28.323,-122.88,-126.47,2.09
28.497,-122.28,-126.29,2.16
28.67,-121.31,-126.12,2.23
28.844,-120.33,-125.94,2.23
29.017,-119.34,-125.76,2.31
29.191,-118.35,-125.57,2.38
29.365,-117.36,-125.17,2.67
29.538,-115.81,-123.92,4.4
29.712,-112.3,-120.9,6.13
29.886,-108.87,-115.37,6.78
30.059,-105.48,-108.53,3.6
30.233,-102.12,-101.67,2.38
30.407,-98.76,-94.82,5.26
30.58,-95.39,-88.78,6.78
30.754,-92.03,-85.1,5.84
30.928,-88.69,-83.24,5.05
31.101,-85.36,-82.23,4.61
31.275,-82.03,-81.48,4.33
31.449,-78.73,-80.8,4.04
31.622,-75.46,-80.13,3.75
31.796,-72.22,-79.46,3.46
31.97,-69.01,-78.8,3.24
32.143,-69.25,-78.13,3.03
32.317,-70.21,-77.46,2.96
32.49,-71.18,-76.8,2.81
32.803,-72.93,-75.6,2.88
32.977,-73.9,-74.94,2.96
33.15,-73.98,-74.27,3.1
33.324,-73.92,-73.61,3.24
33.498,-73.86,-72.95,3.46
33.671,-73.79,-72.31,3.68
33.845,-73.73,-71.68,3.89
34.019,-73.68,-71.07,4.18
34.192,-73.61,-70.46,4.4
34.366,-73.56,-69.85,4.69
34.54,-73.5,-69.24,5.12
34.713,-73.44,-68.63,5.41
34.783,-73.41,-68.39,5.55
